Collection,Volume (7d),Sales (7d),⏷  Volume (All Time),Sales (All Time),Avg Price (7d),Total Supply,Owners,Owners%,Estimated Market Cap,Added,Compound Score,Positive Score,Neutral Score,Negative Score
CryptoPunks,"10,772.66 ETH",129,"740,553.42 ETH",18024,83.51 ETH,9999,3258,32.58%,"835,006.41 ETH",2021/04/30,0.340348,0.17784,0.8014100000000001,0.02076
Bored Ape YC,"8,464.81 ETH",146,"254,090.60 ETH",23055,57.98 ETH,10000,5917,59.17%,"579,781.71 ETH",2021/05/02,0.05397299999999998,0.09407,0.854605,0.051324999999999996
Mutant Ape Yacht Club,"3,194.29 ETH",404,"125,326.10 ETH",18470,7.91 ETH,16964,10522,62.03%,"134,128.41 ETH",2021/08/29,0.18589099999999995,0.12402666666666666,0.8366933333333334,0.03928
Meebits,781.34 ETH,173,"76,883.32 ETH",14114,4.53 ETH,19999,5377,26.89%,"90,682.73 ETH",2021/05/04,0.14238649999999997,0.10299,0.8595149999999999,0.037494999999999994
Loot (for Adventurers),147.54 ETH,57,"71,481.39 ETH",10493,2.59 ETH,7779,2541,32.66%,"20,134.78 ETH",2021/09/04,0.13364919999999997,0.096638,0.8671120000000001,0.03624999999999999
Cool Cats NFT,632.25 ETH,77,"59,257.44 ETH",23423,8.21 ETH,9933,5003,50.37%,"81,560.72 ETH",2021/07/02,0.20453616666666663,0.11602833333333334,0.8514116666666667,0.032560000000000006
CrypToadz by GREMPLIN,841.34 ETH,209,"50,400.97 ETH",15554,4.03 ETH,7025,3584,51.02%,"28,279.41 ETH",2021/09/11,0.15565485714285715,0.1016542857142857,0.8624771428571427,0.03586857142857143
0N1 Force,82.56 ETH,102,"44,683.19 ETH",16443,0.81 ETH,7775,4217,54.24%,"6,293.50 ETH",2021/08/22,0.11316474999999998,0.09557749999999998,0.8592862499999999,0.04513125
MekaVerse,208.94 ETH,154,"43,588.20 ETH",9813,1.36 ETH,8887,5106,57.45%,"12,057.64 ETH",2021/10/16,0.16847377777777778,0.11248999999999998,0.846991111111111,0.04051333333333334
Pudgy Penguins,207.74 ETH,178,"42,485.05 ETH",28845,1.17 ETH,8887,4721,53.12%,"10,371.97 ETH",2021/07/29,0.1627334,0.108792,0.851371,0.039833999999999994
Hashmasks,71.30 ETH,68,"40,334.89 ETH",19030,1.05 ETH,16382,5043,30.78%,"17,178.02 ETH",2021/04/30,0.15203636363636364,0.10258636363636364,0.8592936363636364,0.03811727272727273
Bored Ape Kennel Club,370.94 ETH,123,"38,831.32 ETH",14059,3.02 ETH,9602,4966,51.72%,"28,957.09 ETH",2021/06/26,0.14470566666666665,0.10214583333333334,0.8557641666666665,0.0420875
CyberKongz,"1,039.62 ETH",90,"38,706.29 ETH",4289,11.55 ETH,4801,2197,45.76%,"55,457.72 ETH",2021/06/18,0.16302276923076925,0.10538769230769232,0.8552707692307692,0.039339230769230765
VeeFriends,319.60 ETH,29,"32,236.45 ETH",3074,11.02 ETH,10255,5102,49.75%,"113,018.41 ETH",2021/06/15,0.17066314285714287,0.10708857142857141,0.8542114285714285,0.03869714285714286
World of Women,753.41 ETH,317,"26,142.14 ETH",18229,2.38 ETH,10000,4572,45.72%,"23,766.99 ETH",2021/07/28,0.15691933333333333,0.10595800000000001,0.8503486666666668,0.043694
The Doge Pound,244.95 ETH,124,"24,439.58 ETH",16394,1.98 ETH,10000,5543,55.43%,"19,754.32 ETH",2021/07/20,0.15208724999999998,0.10107,0.85773,0.041199999999999994
Lazy Lions,619.91 ETH,511,"19,383.31 ETH",21800,1.22 ETH,10080,4882,48.43%,"12,255.68 ETH",2021/08/10,0.13615329411764707,0.09909529411764707,0.8548388235294119,0.046064117647058825
Sneaky Vampire Syndicate,92.38 ETH,100,"19,057.29 ETH",12754,0.92 ETH,8888,1645,18.51%,"8,210.47 ETH",2021/09/16,0.126186,0.09815722222222222,0.8518961111111111,0.049955
Axie Origins,"1,860.75 ETH",108,"18,555.37 ETH",3904,17.23 ETH,3802,606,15.94%,"65,505.45 ETH",2021/07/24,0.12606664826062947,0.09830922142462728,0.8517454445057979,0.049953616786305895
CyberKongz VX,135.36 ETH,116,"18,526.40 ETH",14866,1.17 ETH,14582,4076,27.95%,"17,016.20 ETH",2021/08/16,0.14720026164311878,0.10127943485086344,0.8508555729984302,0.047872841444270016
SupDucks,177.55 ETH,155,"17,697.08 ETH",15586,1.15 ETH,10001,3260,32.60%,"11,455.88 ETH",2021/07/18,0.13951874689209348,0.09907309796121333,0.85321929388364,0.04770959721531576
FLUF World,328.57 ETH,212,"17,696.62 ETH",15588,1.55 ETH,9999,3585,35.85%,"15,454.47 ETH",2021/08/09,0.13967224064424447,0.09987446707721458,0.8535594504973946,0.04656797726196116
JUNGLE FREAKS BY TROSLEY,124.86 ETH,255,"17,194.69 ETH",18309,0.49 ETH,9999,5360,53.61%,"4,896.07 ETH",2021/10/21,0.14075079149706016,0.099363184079602,0.8537200361827226,0.04691632745364089
GalacticApes,77.64 ETH,197,"16,746.13 ETH",16516,0.39 ETH,9998,3484,34.85%,"3,940.27 ETH",2021/10/03,0.1355298572046733,0.0952912159238425,0.8598221549112938,0.044886196451752486
MutantCats,80.77 ETH,186,"15,252.07 ETH",20188,0.43 ETH,9999,727,7.27%,"4,342.06 ETH",2021/11/26,0.1379068851099129,0.09635255080879303,0.8587386976358357,0.04490875155537122
Vox Collectibles,"1,311.60 ETH",410,"15,215.89 ETH",15733,3.20 ETH,8888,3268,36.77%,"28,432.94 ETH",2021/08/13,0.13271871764237356,0.09429828753484668,0.8607467144563918,0.044955396256471526
Gutter Cat Gang,263.93 ETH,49,"15,146.36 ETH",8856,5.36 ETH,3000,1727,57.57%,"16,084.53 ETH",2021/06/09,0.13735986212179244,0.094567981616239,0.8619299119111451,0.04350248946763692
MoonCats,59.08 ETH,105,"14,060.84 ETH",12299,0.56 ETH,18498,5109,27.62%,"10,408.17 ETH",2021/05/03,0.13753769826632237,0.094234968646256,0.862917373662855,0.04284839542604205
Bears Deluxe,663.92 ETH,251,"13,888.85 ETH",21541,2.65 ETH,6899,931,13.49%,"18,248.68 ETH",2021/09/23,0.13825962290999644,0.09458555674137317,0.8632362148701529,0.04217716115261473
Koala Intelligence Agency,10.18 ETH,75,"12,507.36 ETH",16838,0.14 ETH,10000,4914,49.14%,"1,357.09 ETH",2021/08/25,0.13678354123354125,0.09424809424809423,0.8634573804573805,0.04229279279279279
The Sevens (Official),13.01 ETH,89,"11,749.18 ETH",9715,0.15 ETH,7000,2890,41.29%,"1,023.22 ETH",2021/09/10,0.1354959699453552,0.09345252732240437,0.8645344945355192,0.042010928961748635
Adam Bomb Squad,154.15 ETH,464,"11,567.68 ETH",25311,0.33 ETH,24999,8022,32.09%,"8,305.40 ETH",2021/10/05,0.11736647952443857,0.09158817701453105,0.8612744385733159,0.04713804491413474
Rumble Kong League,901.38 ETH,362,"11,044.46 ETH",10783,2.49 ETH,9998,2956,29.57%,"24,895.05 ETH",2021/08/01,0.11512330562659846,0.09009878516624041,0.8636007033248081,0.04630147058823529
The Humanoids,244.84 ETH,554,"10,961.93 ETH",18537,0.44 ETH,10000,5202,52.02%,"4,419.54 ETH",2021/10/05,0.11606675960346964,0.08976548946716233,0.8645526641883519,0.04568246592317224
PEACEFUL GROUPIES,35.02 ETH,109,"10,687.87 ETH",18268,0.32 ETH,9999,3699,36.99%,"3,219.71 ETH",2021/09/23,0.11979792668269229,0.09066676682692308,0.8638858173076923,0.04544891826923077
The CryptoDads,25.98 ETH,104,"10,408.02 ETH",13877,0.25 ETH,9999,7990,79.91%,"2,497.64 ETH",2021/09/11,0.12603468494749126,0.09167998833138856,0.8637214119019838,0.044599474912485414
Robotos Official,67.04 ETH,111,"10,400.80 ETH",20036,0.60 ETH,9999,5393,53.94%,"6,039.26 ETH",2021/08/05,0.10667125850340135,0.08918367346938776,0.8627842970521543,0.04803287981859411
THE SHIBOSHIS,228.66 ETH,190,"9,728.43 ETH",6616,1.20 ETH,10000,3610,36.10%,"12,028.49 ETH",2021/10/29,0.1174177783902977,0.09078528114663725,0.8623475744211686,0.04686797133406835
Animetas,20.79 ETH,83,"9,445.59 ETH",16304,0.25 ETH,10100,4036,39.96%,"2,529.98 ETH",2021/08/01,0.11282068133047211,0.0898293991416309,0.8632435622317596,0.046927575107296136
DeadFellaz,308.05 ETH,332,"9,165.55 ETH",18093,0.93 ETH,9997,5360,53.62%,"9,275.94 ETH",2021/08/18,0.12300101880877742,0.0927855276907001,0.8611138975966562,0.046100835945663526
The Wicked Craniums,6.48 ETH,49,"8,779.92 ETH",20667,0.13 ETH,10761,3827,35.56%,"1,423.31 ETH",2021/06/21,0.11772034114052952,0.0917489816700611,0.8606952647657841,0.047555753564154785
GEVOLs.,31.01 ETH,101,"8,483.03 ETH",10060,0.31 ETH,8888,3540,39.83%,"2,729.12 ETH",2021/09/02,0.1174075968222443,0.09100099304865938,0.8620625620655413,0.04693669314796425
Winter Bears,45.30 ETH,262,"8,178.98 ETH",18743,0.18 ETH,10000,4558,45.58%,"1,753.03 ETH",2021/09/30,0.1298482315891473,0.09336458333333333,0.8608359980620155,0.04579966085271317
The Vogu Collective,4.91 ETH,33,"8,087.70 ETH",11094,0.15 ETH,7777,2828,36.36%,"1,180.32 ETH",2021/07/28,0.13229846596356665,0.09404362416107381,0.8603571428571428,0.04559923298178332
